Sample,K,n,YS,E,UTS,Ebreak,HV,KIC
AM718-HM,1433.97,0.2587,290.3103,131.004,827.4129401,0.666642991,260.1,159.9208889
AM718-HT1,2315.54,0.1922,732.2748,246.589,1367.981484,0.212948073,370.2,130.4157778
AM718-HT2,2187.25,0.1849,697.9512,235.29,1320.868524,0.234958434,364.4,120.7676667
W718-HT2,1636.15,0.1509,640.6907,212.91,1067.125359,0.196895679,359.3,125.3948889
